,Rank,Artist,Album,Date,Genres,RYM Rating,Ratings,Reviews
0,1,John Coltrane,Giant Steps,27 January 1960,Hard Bop,4.11,14738,198
1,2,Charlie Mingus,Blues & Roots,March 1960,Post-Bop,4.04,6610,116
2,3,Miles Davis,Sketches of Spain,18 July 1960,"Third Stream, Modal Jazz",3.88,10191,138
3,4,Berliner Philharmoniker / Ferenc Fricsay,"Sinfonie E-moll ""Aus der neuen Welt"" (Nouveau monde)",June 1960,"Romanticism, Symphony",3.97,187,3
4,5,London Symphony Orchestra / Josef Krips,"Symphony No.9 ""Choral""",1960,"Romanticism, Symphony",4.14,26,1
5,6,Josef Krips and the London Symphony OrchestraLondon Symphony OrchestraJosef Krips,Complete Nine Symphonies,1960,"Classical Period, Symphony",4.03,63,4
6,7,Svjatoslav Richter,Klavierkonzert Nr. 2 in c-Moll; 6 Preludes,1960,Romanticism,3.93,234,2
7,8,London Symphony Orchestra / Antal Doráti,The Firebird (Complete Ballet),1960,"Modern Classical, Orchestral",3.92,249,3
8,9,Philharmonia Orchestra / Igor Markevitch,Rite of Spring,1960,"Modern Classical, Orchestral",3.97,69,2
9,10,Chicago Symphony / Fritz Reiner,Scheherazade,1960,"Romanticism, Tone Poem",3.86,453,9
10,11,Hank Mobley,Soul Station,October 1960,Hard Bop,3.84,2159,34
11,12,Wes Montgomery,The Incredible Jazz Guitar of Wes Montgomery,April 1960,Hard Bop,3.83,2970,37
12,13,Glenn Gould,"Concerto in F major (""Italian""); Partita No. 1 in B-flat major; Partita No. 2 in C minor",6 June 1960,Baroque Music,3.93,NA,NA
13,14,Etta James,At Last!,15 November 1960,"Rhythm & Blues, Soul, Soul Blues",3.82,2453,39
14,15,Chicago Symphony Orchestra / Fritz Reiner,"Music for Strings, Percussion and Celesta; Hungarian Sketches",1960,"Modern Classical, Orchestral",3.87,138,1
15,16,Bill Evans Trio,Portrait in Jazz,February 1960,Cool Jazz,3.80,3123,25
16,17,Orchestre radio-symphonique de Berlin / Chœur de la Cathédrale Ste-Edwige de Berlin / Ferenc Fricsay / Maria Stader / Hertha Toepper / Ernst Haefliger / Ivan SardiDeutsches Symphonie-Orchester BerlinDer Chor der St. Hedwigs-Kathedrale BerlinFerenc FricsayMaria StaderHertha TöpperErnst HaefligerIvan Sardi,"Grande messe en ut mineur, K. 427",1960,"Classical Period, Choral, Christian Liturgical Music",3.87,106,2
17,18,Ornette Coleman,Change of the Century,June 1960,Avant-Garde Jazz,3.80,2360,27
18,19,Bamberger Symphoniker / Ferdinand Leitner / Wilhelm Kempff,Klavierkonzerte A-dur KV 488 und c-moll KV 491,1960,"Classical Period, Concerto",3.90,67,1
19,20,Tina Brooks,True Blue,December 1960,Hard Bop,3.81,1021,21
20,21,New York Philharmonic / Leonard Bernstein / Reri Grist,Symphony No. 4 in G Major,1960,"Symphony, Romanticism",3.90,58,1
21,22,Art Blakey & The Jazz Messengers,The Big Beat,September 1960,Hard Bop,3.79,908,7
22,23,Curtis Fuller's Quintet,Blues-ette,February 1960,Hard Bop,3.79,561,16
23,24,Duke Ellington and His Orchestra,Piano in the Background,1960,Big Band,3.80,267,4
24,25,Duke Ellington,Blues in Orbit,May 1960,Big Band,3.78,603,6
25,26,Thelonious Monk,Thelonious Alone in San Francisco,January 1960,Hard Bop,3.76,997,17
26,27,Artur Rubinstein,The Chopin Ballades,1960,Romanticism,3.79,265,4
27,28,João Gilberto,"O amor, o sorriso e a flor",May 1960,Bossa nova,3.76,1033,14
28,29,Nino Rota,La dolce vita,1960,"Film Score, Cinematic Classical",3.76,364,1
29,30,The Philadelphia Orchestra / Rutgers University Choir / Eugene Ormandy / F. Austin Walter / Janice Harsanyi / Rudolf Petrak,Carmina Burana,1960,"Modern Classical, Choral",3.85,NA,NA
30,31,Ella Fitzgerald,"Ella Fitzgerald Sings Songs From ""Let No Man Write My Epitaph""",1960,"Vocal Jazz, Standards",3.79,150,5
31,32,Freddie Hubbard,Open Sesame,November 1960,Hard Bop,3.75,970,16
32,33,Charles Mingus and His Jazz Groups,Mingus Dynasty,11 April 1960,Post-Bop,3.74,1640,18
33,34,Chicago Symphony Orchestra / Fritz Reiner / Maureen Forrester / Richard Lewis,Das Lied von der Erde,1960,"Romanticism, Orchestral",3.85,42,1
34,35,Louis Armstrong,Satchmo Plays King Oliver,November 1960,Dixieland,3.76,205,6
35,36,Duke Ellington and His Orchestra,Festival Session,January 1960,Big Band,3.79,110,4
36,37,Chicago Symphony Orchestra / Fritz Reiner / Rosalind Elias,Alexander Nevsky,1960,"Modern Classical, Orchestral, Choral",3.82,NA,NA
37,38,Wiener Philharmoniker / Herbert von Karajan / Renata Tebaldi / Carlo Bergonzi / Cornell MacNeil / Giulietta Simionato,Aida,1960,"Romanticism, Opera",3.80,40,1
38,39,Eric Dolphy Quintet,Outward Bound,1960,Hard Bop,3.73,1159,14
39,40,Nat Adderley,Work Song,1960,Hard Bop,3.74,348,7
0,1,John Coltrane,My Favorite Things,March 1961,"Modal Jazz, Post-Bop",4.11,12437,157
1,2,John Coltrane,Olé Coltrane,November 1961,Modal Jazz,4.00,5482,85
2,3,The John Coltrane Quartet,Africa / Brass,1 September 1961,"Modal Jazz, Post-Bop",4.00,4886,53
3,4,Philharmonia Orchestra / Philharmonia Chorus / Carlo Maria Giulini / Eberhard Waechter / Elisabeth Schwarzkopf / Fiorenza Cossotto / Giuseppe Taddei / Anna Moffo,The Marriage of Figaro,1961,"Classical Period, Opera buffa",4.09,74,1
4,5,Wilhelm Kempff,Klaviersonaten Pathétique; Mondschein-Sonate; Appassionata,1961,Classical Period,4.01,189,1
5,6,Columbia Symphony Orchestra / Igor Stravinsky,Stravinsky Conducts Le Sacre du printemps,April 1961,"Modern Classical, Orchestral",3.97,1127,4
6,7,Pierre Fournier,Sechs Suiten für Violoncello Solo BWV 1007-1012,1961,Baroque Music,3.96,964,8
7,8,The Ornette Coleman Double Quartet,Free Jazz,September 1961,Free Jazz,3.88,4970,90
8,9,Max Roach,We Insist! Max Roach's Freedom Now Suite,January 1961,Avant-Garde Jazz,3.89,3134,31
9,10,Oliver Nelson,The Blues and the Abstract Truth,1 September 1961,Hard Bop,3.89,2775,58
10,11,Philharmonia Orchestra / Otto Klemperer,Eroica: Symphony Nº III,1961,"Symphony, Classical Period, Romanticism",3.98,74,2
11,12,Art Blakey & The Jazz Messengers,A Night in Tunisia,January 1961,Hard Bop,3.86,1511,22
12,13,Martha Argerich,Chopin / Brahms / Liszt / Ravel / Prokofieff,December 1961,Romanticism,3.88,443,6
13,14,Eric Dolphy,Out There,1961,Post-Bop,3.85,2437,30
14,15,Philharmonia Orchestra / Philharmonia Chorus / Carlo Maria Giulini /  Eberhard Wächter / Joan Sutherland / Luigi Alva / Gottlob Frick / Elisabeth Schwarzkopf / Giuseppe Taddei / Piero Cappuccilli / Graziella Sciutti,Don Giovanni,1961,"Classical Period, Opera buffa",3.87,253,2
15,16,Симфонический оркестр Ленинградской гос. филармонии / Е. МравинскийЗаслуженный коллектив России академический симфонический оркестр Санкт-Петербургской филармонии [Saint Petersburg Philharmonic Orchestra]Евгений Мравинский [Evgeny Mravinsky],"6-я симфония си минор, соч. 74 «Патетическая»",1961,"Romanticism, Symphony",4.01,NA,NA
16,17,Astor Piazzolla y su Quinteto,Piazzolla interpreta a Piazzolla,1961,Tango nuevo,3.87,94,3
17,18,Hank Mobley,Roll Call,July 1961,Hard Bop,3.82,792,18
18,19,The Gil Evans Orchestra,Out of the Cool,February 1961,"Progressive Big Band, Cool Jazz",3.81,1306,23
19,20,Bill Evans Trio,Explorations,March 1961,Cool Jazz,3.79,2024,22
20,21,The Ornette Coleman Quartet,This Is Our Music,February 1961,Avant-Garde Jazz,3.79,1859,33
21,22,Ella Fitzgerald,Ella Fitzgerald Sings the Harold Arlen Song Book,1961,"Vocal Jazz, Standards",3.81,193,3
22,23,Kenny Dorham,Whistle Stop,June 1961,Hard Bop,3.79,334,4
23,24,Django Reinhardt,Django Reinhardt et le Quintette du Hot Club de France,1961,Jazz manouche,3.90,NA,NA
24,25,Max Roach,Percussion Bitter Sweet,September 1961,"Hard Bop, Post-Bop",3.77,665,9
25,26,Thelonious Monk With John Coltrane,Thelonious Monk With John Coltrane,October 1961,Hard Bop,3.75,2342,28
26,27,Cecil Taylor,The World of Cecil Taylor,1961,Avant-Garde Jazz,3.76,950,19
27,28,Various Artists,West Side Story,October 1961,"Show Tunes, Film Soundtrack",3.75,659,19
28,29,Oliver Nelson with Eric Dolphy,Straight Ahead,1961,Hard Bop,3.77,417,6
29,30,George Russell Sextet,Ezz-thetics,1961,"Modal Jazz, Avant-Garde Jazz",3.75,1010,16
30,31,Booker Little,Out Front,October 1961,Hard Bop,3.76,371,13
31,32,Glenn Gould,10 Intermezzi for Piano,3 April 1961,Romanticism,3.81,115,1
32,33,Lightnin' Hopkins With Sonny TerryLightnin' HopkinsSonny Terry,Last Night Blues,1961,Acoustic Texas Blues,3.80,109,1
33,34,New York Philharmonic / Leonard Bernstein,Symphonic Dances From West Side Story; Symphonic Suite From On the Waterfront,1961,"Film Score, Orchestral",3.94,NA,NA
34,35,Jacques Brel,N° 5,April 1961,Chanson à texte,3.74,397,5
35,36,Dizzy Gillespie and His Orchestra,Gillespiana,1961,"Big Band, Bebop",3.78,112,1
36,37,Münchener Bach-Orchester / Münchener Bach-Chor / Karl Richter,"Missa; Symbolum Nicenum; Sanctus; Osanna, Benedictus, Agnus Dei et Dona nobis pacem (Messe in h-Moll) BWV 232",1961,"Baroque Music, Christian Liturgical Music, Choral",3.78,NA,NA
37,38,"Orchestre national, Paris / Chœur et la maîtrise de la RTF / Lorin MaazelOrchestre national de FranceChœur de Radio FranceMaîtrise de Radio FranceLorin Maazel",L'enfant et les sortilèges,1961,"Opera, Impressionism",3.79,76,1
38,39,Kenny Drew,Undercurrent,July 1961,Hard Bop,3.74,422,7
39,40,Miles Davis Quintet,Steamin' With the Miles Davis Quintet,May 1961,Hard Bop,3.72,1891,21
0,1,Berliner Philharmoniker / Herbert von Karajan,Symphonie Nr. 5,1962,"Symphony, Classical Period, Romanticism",4.01,674,5
1,2,Art Blakey & The Jazz Messengers,Mosaic,January 1962,Hard Bop,3.93,1786,18
2,3,Berliner Philharmoniker / Herbert von Karajan,"""Pastorale""",1962,"Symphony, Romanticism, Classical Period",3.93,268,2
3,4,Berliner Philharmoniker / Wiener Singverein / Herbert von Karajan / Wilma Lipp / Hilde Rössl-Majdan / Anton Dermota / Walter BerryBerliner PhilharmonikerWiener SingvereinHerbert von KarajanWilma LippHilde Rössel-MajdanAnton DermotaWalter Berry,Requiem KV 626,1962,"Classical Period, Choral, Christian Liturgical Music",3.89,493,6
4,5,Berliner Philharmoniker / Herbert von Karajan,Symphonie Nr. 7,1962,"Symphony, Romanticism",3.90,NA,NA
5,6,Max Roach and His Chorus and Orchestra,It's Time,August 1962,Avant-Garde Jazz,3.88,1004,16
6,7,Charlie Mingus,Tijuana Moods,May 1962,Post-Bop,3.86,3099,34
7,8,Columbia Symphony Orchestra / Igor Stravinsky,Stravinsky Conducts Stravinsky: The Firebird - The Complete Ballet in the Original 1910 Orchestration,16 April 1962,"Modern Classical, Orchestral",3.90,233,2
8,9,The John Coltrane Quartette,Coltrane,August 1962,"Modal Jazz, Post-Bop",3.84,2403,29
9,10,Wiener Philharmoniker / Herbert von Karajan,The Planets,1962,"Modern Classical, Orchestral",3.93,66,1
10,11,Charles Mingus,Oh Yeah,April 1962,Post-Bop,3.83,2436,51
11,12,New York Philharmonic / Leonard Bernstein / Martha Lipton,Symphony No. 3,1962,"Romanticism, Symphony",3.90,91,1
12,13,Wiener Philharmoniker / Georg Solti / Birgit Nilsson / Gerhard Stolze / Eberhard Waechter,Salome,1962,"Romanticism, Opera",3.85,124,5
13,14,Philharmonia Orchestra / Philharmonia Chorus / Otto Klemperer / Elisabeth Schwarzkopf / Dietrich Fischer-Dieskau,A German Requiem,1962,"Romanticism, Choral, Christian Liturgical Music",3.83,394,7
14,15,Dexter Gordon,Go,December 1962,Hard Bop,3.82,2148,32
15,16,Sonny Rollins,The Bridge,April 1962,Hard Bop,3.82,1321,32
16,17,Columbia Symphony Orchestra / Igor Stravinsky,Stravinsky Conducts Stravinsky: Petroushka,16 April 1962,"Modern Classical, Orchestral",3.89,91,1
17,18,The Hungarian String Quartet,6 Streichquartette,1962,"Modern Classical, Chamber Music",3.94,NA,NA
18,19,Maurice Jarre,Lawrence of Arabia,1962,"Film Score, Cinematic Classical, Orchestral",3.81,432,15
19,20,Orchestre des concerts Lamoureux / Igor Markevitch,Symphonie Fantastique,1962,"Romanticism, Symphony",3.85,120,1
20,21,Wiener Symphoniker / Herbert von Karajan / Svjatoslav RichterWiener SymphonikerHerbert von KarajanСвятослав Рихтер [Sviatoslav Richter],Klavierkonzert Nr. 1 b-Moll,1962,"Romanticism, Concerto",3.85,117,1
21,22,Mal Waldron with Eric Dolphy and Booker Ervin,The Quest,July 1962,Modal Jazz,3.81,746,13
22,23,Royal Philharmonic Orchestra / René Leibowitz,The Nine Symphonies of Beethoven,1962,"Classical Period, Symphony, Romanticism",4.05,NA,NA
23,24,Eric Dolphy,Far Cry,1962,"Post-Bop, Hard Bop",3.79,1351,18
24,25,Bill Evans & Jim Hall,Undercurrent,August 1962,Cool Jazz,3.77,2710,44
25,26,Sonny Clark,Leapin' and Lopin',April 1962,Hard Bop,3.79,478,6
26,27,Freddie Hubbard,Ready for Freddie,April 1962,"Hard Bop, Modal Jazz",3.77,920,14
27,28,Berliner Philharmoniker / George Szell / Pierre Fournier,Concerto for Violoncello and Orchestra in B minor,1962,"Romanticism, Concerto",3.85,NA,NA
28,29,Rose Maddox,Rose Maddox Sings Bluegrass,9 October 1962,Bluegrass,3.93,38,1
29,30,Booker Little,Booker Little and Friend,1962,"Hard Bop, Cool Jazz",3.80,121,2
30,31,New York Philharmonic / Leonard Bernstein,Leningrad Symphony No. 7,1962,"Modern Classical, Symphony",3.84,51,1
31,32,Hank Mobley,Workout,March 1962,Hard Bop,3.75,534,8
32,33,Roy Haynes Quartet,Out of the Afternoon,1962,Post-Bop,3.75,445,6
33,34,Benny Carter and His Orchestra,Further Definitions,March 1962,"Swing, Bebop",3.75,401,8
34,35,Berliner Philharmoniker / Herbert von Karajan,Symphonies Nos. 8 & 9 (Finale),1962,"Symphony, Romanticism",3.86,NA,NA
35,36,Carmen McRae,Lover Man and Other Billie Holiday Classics,1962,"Vocal Jazz, Standards",3.79,66,1
36,37,The New Dynamic Chico Hamilton Quintet,Drumfusion,July 1962,"Jazz, Post-Bop",3.79,86,3
37,38,The Ornette Coleman Quartet,Ornette!,February 1962,"Avant-Garde Jazz, Free Jazz",3.72,1175,12
38,39,Chicago Symphony Orchestra / Fritz Reiner,Also sprach Zarathustra,1962,"Romanticism, Tone Poem",3.98,NA,NA
39,40,John Lee Hooker,Burnin',1962,Electric Blues,3.73,344,6
0,1,Mingus,The Black Saint and the Sinner Lady,July 1963,"Avant-Garde Jazz, Third Stream",4.34,21732,371
1,2,Berliner Philharmoniker / Herbert von Karajan,Symphony No. 9,1963,"Symphony, Romanticism",4.09,1650,11
2,3,Bob Dylan,The Freewheelin' Bob Dylan,27 May 1963,"Contemporary Folk, Singer-Songwriter",3.97,17243,369
3,4,The Thelonious Monk Quartet,Monk's Dream,14 January 1963,Hard Bop,3.91,3885,56
4,5,Duke Ellington / Charlie Mingus / Max RoachDuke EllingtonCharles MingusMax Roach,Money Jungle,February 1963,Hard Bop,3.89,4591,68
5,6,Sinfonia of London / Allegri String Quartet / John Barbirolli,Barbirolli Conducts English String Music,1963,"Romanticism, Modern Classical",4.05,37,1
6,7,Česká filharmonie / Karel Ančerl,Má vlast,1963,"Romanticism, Tone Poem",4.01,NA,NA
7,8,Jorge Ben,Samba esquema novo,1963,Samba,3.87,3133,41
8,9,Philharmonia Orchestra / Philharmonia Chorus / Otto Klemperer / Elisabeth Schwarzkopf / Hilde Rössel-Majdan,Symphony No 2 'Resurrection',1963,"Symphony, Romanticism",3.89,294,5
9,10,Nino Rota,8½,1963,"Film Score, Cinematic Classical",3.85,550,5
10,11,Wiener Philharmoniker / Solti / Windgassen / Nilsson / Hotter / Stolze / Neidlinger / Joan SutherlandWiener PhilharmonikerGeorg SoltiWolfgang WindgassenBirgit NilssonHans HotterGerhard StolzeGustav NeidlingerJoan Sutherland,Siegfried,April 1963,"Romanticism, Opera",3.86,122,1
11,12,Berliner Philharmoniker / Karl Böhm,"Symphonien Nr. 40/41 ""Jupiter""",1963,"Classical Period, Symphony",3.85,NA,NA
12,13,Dexter Gordon,Our Man in Paris,December 1963,Hard Bop,3.83,1230,20
13,14,Jackie McLean,Let Freedom Ring,May 1963,Post-Bop,3.84,829,18
14,15,Glenn Gould,The Well-Tempered Clavier: Book I - Preludes and Fugues 1-8,14 January 1963,Baroque Music,3.84,355,6
15,16,Kenny Burrell,Midnight Blue,May 1963,Hard Bop,3.81,1856,39
16,17,Duke Ellington & John Coltrane,Duke Ellington & John Coltrane,February 1963,"Hard Bop, Cool Jazz",3.80,3906,38
17,18,Thelonious Monk,Criss-Cross,12 August 1963,Post-Bop,3.81,1010,15
18,19,Paul Tortelier,The Cello Suites,1963,Baroque Music,4.00,NA,NA
19,20,Berliner Philharmoniker / Herbert von Karajan,"""Eroica""",1963,"Symphony, Classical Period",3.83,310,2
20,21,Various Artists,A Christmas Gift for You From Philles Records,22 November 1963,"Christmas Music, Brill Building, Girl Group",3.78,2370,65
21,22,Artur Rubinstein,Sonatas: Moonlight; Pathetique; Les adieux,1963,Classical Period,3.96,NA,NA
22,23,Dietrich Fischer-Dieskau / Gerald Moore,Die Winterreise,1963,"Romanticism, Lieder",3.86,NA,NA
23,24,Joe Henderson,Page One,November 1963,Hard Bop,3.78,1343,22
24,25,Mississippi John Hurt,Folk Songs and Blues,1963,"Delta Blues, Country Blues",3.81,186,4
25,26,Berliner Philharmoniker / Ferdinand Leitner / Wilhelm Kempff,Klavierkonzert Nr.5 Es-dur,1963,"Classical Period, Concerto",3.92,42,1
26,27,Berliner Philharmoniker / Karl Böhm / Dietrich Fischer-Dieskau,Kindertotenlieder; 4 Rückert-Lieder,1963,"Romanticism, Lieder",3.99,NA,NA
27,28,Sam Cooke,Night Beat,September 1963,"Southern Soul, Soul",3.76,2094,53
28,29,John Coltrane Quartet,Ballads,February 1963,Cool Jazz,3.75,3112,43
29,30,Wes Montgomery,Boss Guitar,August 1963,"Hard Bop, Soul Jazz",3.77,307,8
30,31,The Horace Silver Quintet,Silver's Serenade,August 1963,Bebop,3.78,208,4
31,32,Wiener Philharmoniker / Aram KhachaturianWiener PhilharmonikerАрам Хачатурян [Aram Khachaturian],Spartacus; Gayaneh,January 1963,Modern Classical,3.79,87,4
32,33,Curtis Amy / Dupree BoltonCurtis AmyDupree Bolton,Katanga!,1963,Hard Bop,3.77,173,3
33,34,Jimmy Woods Sextet,Conflict,1963,Post-Bop,3.79,126,3
